utc,reference,event_id,user,details_json
2026-08-18T08:00:00Z,WS-FIN-01|Security|1000,4624,a.patel,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-FIN-01$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1000"", ""TargetUserName"": ""a.patel"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1101"", ""WorkstationName"": ""-""}"
2026-08-18T08:00:30Z,WS-HR-02|Security|1001,4624,m.chen,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-HR-02$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1001"", ""TargetUserName"": ""m.chen"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1102"", ""WorkstationName"": ""-""}"
2026-08-18T08:01:00Z,WS-FIN-01|Security|1002,4624,a.patel,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-FIN-01$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1002"", ""TargetUserName"": ""a.patel"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1101"", ""WorkstationName"": ""-""}"
2026-08-18T08:01:30Z,WS-HR-02|Security|1003,4624,m.chen,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-HR-02$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1003"", ""TargetUserName"": ""m.chen"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1102"", ""WorkstationName"": ""-""}"
2026-08-18T08:02:00Z,WS-FIN-01|Security|1004,4624,a.patel,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-FIN-01$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1004"", ""TargetUserName"": ""a.patel"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1101"", ""WorkstationName"": ""-""}"
2026-08-18T08:02:30Z,WS-HR-02|Security|1005,4624,m.chen,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-HR-02$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1005"", ""TargetUserName"": ""m.chen"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1102"", ""WorkstationName"": ""-""}"
2026-08-18T08:03:00Z,WS-FIN-01|Security|1006,4624,a.patel,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-FIN-01$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1006"", ""TargetUserName"": ""a.patel"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1101"", ""WorkstationName"": ""-""}"
2026-08-18T08:03:30Z,WS-HR-02|Security|1007,4624,m.chen,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-HR-02$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1007"", ""TargetUserName"": ""m.chen"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1102"", ""WorkstationName"": ""-""}"
2026-08-18T08:04:00Z,WS-FIN-01|Security|1008,4624,a.patel,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-FIN-01$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1008"", ""TargetUserName"": ""a.patel"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1101"", ""WorkstationName"": ""-""}"
2026-08-18T08:04:30Z,WS-HR-02|Security|1009,4624,m.chen,"{""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""10.20.5.10"", ""IpPort"": ""51432"", ""LogonProcessName"": ""NtLmSsp"", ""LogonType"": ""3"", ""SubjectDomainName"": ""NORTHSTAR"", ""SubjectLogonId"": ""0x3e7"", ""SubjectUserName"": ""WS-HR-02$"", ""SubjectUserSid"": ""S-1-5-18"", ""TargetDomainName"": ""NORTHSTAR"", ""TargetLogonId"": ""0x1009"", ""TargetUserName"": ""m.chen"", ""TargetUserSid"": ""S-1-5-21-444444444-555555555-666666666-1102"", ""WorkstationName"": ""-""}"
